Date,Close,High,Low,Open,Volume,RSI,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2017-01-06,14.324386596679688,14.35547199804928,14.172415963225037,14.202349825708062,3136000,61.58032103431634,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-09,14.349716186523438,14.38886060610564,14.328992876948591,14.339354970919452,2568000,62.45324415374137,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-10,14.34856128692627,14.406125924666531,14.31056929357636,14.350864364321213,2578400,62.38364663157142,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-11,14.43606185913086,14.43606185913086,14.324386305309469,14.350866428960982,3677600,65.51889067369498,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-12,14.392309188842772,14.446420082146506,14.240338599190393,14.392309188842772,2613600,62.704578516579694,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-13,14.448725700378418,14.471751206721558,14.391161056153804,14.398068532383393,2994400,64.80393499802312,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-17,14.36814022064209,14.41649432670182,14.328995793093464,14.411889048262742,2832800,59.639750614300986,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-18,14.423395156860352,14.433757248163737,14.35892304516514,14.39691591599981,4045600,61.8827097005388,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-19,14.381951332092283,14.472903580619032,14.364681762155111,14.410733655865302,2520000,59.22418890125758,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-20,14.459086418151855,14.493625554847148,14.418791344251838,14.452178942159492,2749600,62.45697401268113,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
