Date,Close,High,Low,Open,Volume,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2020-02-18,32.222049713134766,32.274523085253584,32.04674177433663,32.11233166976772,5774400,0,7409.0,9.920431137084961,238733.16632461548,238743.08675575256,138.74308675575256,-0.36504568159314577
2020-02-19,32.58220291137695,32.64421887863653,32.4045111516656,32.4045111516656,5274400,0,7409.0,9.920431137084961,241401.54137039185,241411.46180152893,141.41146180152893,1.117676361664155
2020-02-20,32.28048324584961,32.6179825872346,31.82253681167087,32.54404383101166,6850400,0,7409.0,9.920431137084961,239166.10036849976,239176.02079963684,139.17602079963683,-0.9259879316458886
2020-02-21,31.56494903564453,32.139768779299146,31.35744297326586,32.106376957313664,9121600,0,7409.0,9.920431137084961,233864.70740509033,233874.62783622742,133.8746278362274,-2.216523607042753
2020-02-24,30.273387908935547,30.678860950658905,29.694990774398704,30.07422713251108,15647200,0,7409.0,9.920431137084961,224295.53101730347,224305.45144844055,124.30545144844056,-4.091583801252597
2020-02-25,29.31098937988281,30.63474299137557,29.18934671349,30.5297962345098,14342400,0,7409.0,9.920431137084961,217165.12031555173,217175.0407466888,117.17504074668881,-3.1788842650535165
2020-02-26,29.37895965576172,30.0396425671236,29.160719149845374,29.375382091707124,14311200,0,7409.0,9.920431137084961,217668.71208953857,217678.63252067566,117.67863252067565,0.23188289605260426
2020-02-27,27.858436584472656,29.068894435114547,27.858436584472656,28.409403355148623,20147200,0,7409.0,9.920431137084961,206403.1566543579,206413.077085495,106.41307708549502,-5.175315236377475
2020-02-28,28.10290908813477,28.303261778461223,26.688521107779696,26.75769038064733,28288000,0,7409.0,9.920431137084961,208214.4534339905,208224.3738651276,108.22437386512757,0.8775106719049353
2020-03-02,29.578123092651367,29.578123092651367,28.023010717734955,28.54774263516732,17408000,0,7409.0,9.920431137084961,219144.31399345398,219154.23442459106,119.15423442459105,5.249078365121185
2020-03-03,28.49884605407715,29.957358686209822,28.201895462534274,29.7665485738992,16729600,0,7409.0,9.920431137084961,211147.9504146576,211157.87084579468,111.15787084579468,-3.648737885348896
2020-03-04,29.661598205566406,29.683063589945487,28.706350386635528,29.149984707924915,7608800,0,7409.0,9.920431137084961,219762.7811050415,219772.7015361786,119.7727015361786,4.079805624046662
2020-03-05,28.73378562927246,29.438595028187294,28.553706371100592,28.892397678383563,7584800,0,7409.0,9.920431137084961,212888.61772727966,212898.53815841675,112.89853815841676,-3.1278513344525805
2020-03-06,28.124378204345703,28.290145359647205,27.368289269788765,27.78568876497992,13494400,0,7409.0,9.920431137084961,208373.5181159973,208383.4385471344,108.38343854713442,-2.120775299980071
2020-03-09,25.95628929138184,27.084461484579023,25.69392421520412,25.94078711641906,20152800,-1,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,-7.708564014561015
2020-03-10,27.59775924682617,27.59775924682617,26.049784062789385,27.01831506705279,24196800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-11,26.27007293701172,27.001559821378905,25.87739276546948,26.85191031006628,12639200,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-12,23.68533134460449,25.629578808534102,23.67575355491697,24.33900133325957,27701600,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-13,26.29401588439941,26.325142322229475,23.85532643175795,25.215341137648192,16578400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-16,22.7479190826416,24.731673604546742,22.74672254435757,23.138206122802487,15118400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-17,24.11870574951172,24.489835326194065,22.45699750760836,23.23876616567368,12671200,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-18,23.30820846557617,23.704480036528924,21.9098826326897,22.66052501201041,30476000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-19,23.345319747924805,24.13067995587853,22.40073226811827,22.934682436390684,10612800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-20,22.4055233001709,24.17378237397717,22.36242416938616,23.94392095205063,12592000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-23,22.20678901672364,22.78623143590677,21.48368161770406,22.38517004961957,13808000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-24,24.51498413085937,24.53653278299779,23.46623921749439,23.60870584033013,12481600,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-25,24.526948928833008,25.63435500585239,24.03011341958326,24.767586445516404,14562400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-26,26.042604446411133,26.091689920845987,24.813083642698853,24.813083642698853,13282400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
